SONG_ID,audio_path,annotation_path,structure_sequence,duration,num_structures,artist,title
64,datasets/audio/64.mp3,datasets/salami-data-public/annotations/64/textfile1.txt,"[[""intro"", 0.0, 1.578956916], [""intro"", 1.578956916, 17.146462585], [""intro"", 17.146462585, 34.946031746], [""intro"", 34.946031746, 48.654195011], [""intro"", 48.654195011, 67.33786848], [""chorus"", 67.33786848, 81.339501133], [""bridge"", 81.339501133, 97.012970521], [""verse"", 97.012970521, 116.526281179], [""chorus"", 116.526281179, 126.026870748], [""chorus"", 126.026870748, 134.399727891], [""intro"", 134.399727891, 150.950566893], [""intro"", 150.950566893, 159.252040816], [""unknown"", 159.252040816, 169.691428571], [""intro"", 169.691428571, 181.998004535], [""intro"", 181.998004535, 188.514535147], [""unknown"", 188.514535147, 197.276734693], [""bridge"", 197.276734693, 208.45956916], [""chorus"", 208.45956916, 225.58185941], [""chorus"", 225.58185941, 242.23494331], [""chorus"", 242.23494331, 251.107619047], [""chorus"", 251.107619047, 259.49217687], [""unknown"", 259.49217687, 267.79877551], [""intro"", 267.79877551, 275.78340136], [""intro"", 275.78340136, 281.518730158], [""intro"", 281.518730158, 289.529614512], [""unknown"", 289.529614512, 299.751088435], [""intro"", 299.751088435, 304.645804988], [""intro"", 304.645804988, 312.14585034], [""unknown"", 312.14585034, 319.207301587], [""unknown"", 319.207301587, 326.737346938], [""unknown"", 326.737346938, 340.970589569], [""unknown"", 340.970589569, 349.571814058], [""intro"", 349.571814058, 357.26170068], [""intro"", 357.26170068, 368.71723356], [""chorus"", 368.71723356, 380.83047619], [""intro"", 380.83047619, 388.985578231], [""unknown"", 388.985578231, 402.177188208], [""unknown"", 402.177188208, 416.778480725], [""verse"", 416.778480725, 432.437256235], [""intro"", 432.437256235, 455.23430839], [""verse"", 455.23430839, 470.901020408], [""chorus"", 470.901020408, 480.188662131], [""intro"", 480.188662131, 492.145532879], [""unknown"", 492.145532879, 502.509002267], [""chorus"", 502.509002267, 510.682108843], [""chorus"", 510.682108843, 518.854240362], [""unknown"", 518.854240362, 527.36185941], [""verse"", 527.36185941, 543.183854875], [""intro"", 543.183854875, 556.489433106], [""intro"", 556.489433106, 559.177142857]]",559.177142857,50,Unknown,Unknown
108,datasets/audio/108.mp3,datasets/salami-data-public/annotations/108/textfile1.txt,"[[""intro"", 0.0, 1.811156462], [""intro"", 1.811156462, 17.036507936], [""chorus"", 17.036507936, 25.266507936], [""chorus"", 25.266507936, 38.434557823], [""bridge"", 38.434557823, 46.395578231], [""unknown"", 46.395578231, 59.417414965], [""bridge"", 59.417414965, 66.896689342], [""unknown"", 66.896689342, 74.744399092], [""unknown"", 74.744399092, 88.537641723], [""unknown"", 88.537641723, 97.907777777], [""intro"", 97.907777777, 111.135691609], [""unknown"", 111.135691609, 125.991473922], [""verse"", 125.991473922, 129.951904761], [""unknown"", 129.951904761, 138.066077097], [""unknown"", 138.066077097, 146.325804988], [""unknown"", 146.325804988, 154.989546485], [""unknown"", 154.989546485, 167.459229024], [""outro"", 167.459229024, 175.376235827], [""unknown"", 175.376235827, 195.087460317], [""verse"", 195.087460317, 202.406054421], [""unknown"", 202.406054421, 228.359954648], [""unknown"", 228.359954648, 248.430294784], [""unknown"", 248.430294784, 260.295691609], [""verse"", 260.295691609, 274.125691609], [""chorus"", 274.125691609, 285.731723356], [""chorus"", 285.731723356, 297.618185941], [""unknown"", 297.618185941, 320.110294784], [""unknown"", 320.110294784, 329.811927437], [""unknown"", 329.811927437, 344.030725623], [""verse"", 344.030725623, 352.770204081], [""unknown"", 352.770204081, 363.787029478], [""unknown"", 363.787029478, 381.201995464], [""unknown"", 381.201995464, 400.201133786], [""intro"", 400.201133786, 423.276553287], [""intro"", 423.276553287, 431.934693877]]",431.934693877,35,Unknown,Unknown
12,datasets/audio/12.mp3,datasets/salami-data-public/annotations/12/textfile1.txt,"[[""intro"", 0.0, 1.608163265], [""verse"", 1.608163265, 13.648979591], [""chorus"", 13.648979591, 22.73877551], [""bridge"", 22.73877551, 31.391836734], [""unknown"", 31.391836734, 40.330612244], [""unknown"", 40.330612244, 48.15510204], [""unknown"", 48.15510204, 57.404081632], [""unknown"", 57.404081632, 66.35510204], [""intro"", 66.35510204, 74.444897959], [""unknown"", 74.444897959, 83.53877551], [""unknown"", 83.53877551, 92.95510204], [""unknown"", 92.95510204, 101.710204081], [""unknown"", 101.710204081, 111.299455782], [""unknown"", 111.299455782, 125.0], [""verse"", 125.0, 134.873469387], [""outro"", 134.873469387, 143.995918367], [""unknown"", 143.995918367, 153.404081632], [""unknown"", 153.404081632, 163.387755102], [""unknown"", 163.387755102, 172.167346938], [""unknown"", 172.167346938, 181.861224489], [""unknown"", 181.861224489, 191.991836734], [""unknown"", 191.991836734, 202.726825396], [""verse"", 202.726825396, 209.293877551], [""unknown"", 209.293877551, 219.889795918], [""unknown"", 219.889795918, 229.014829931], [""unknown"", 229.014829931, 238.636734693], [""verse"", 238.636734693, 261.240816326], [""intro"", 261.240816326, 262.304489795]]",262.304489795,28,Unknown,Unknown
13,datasets/audio/13.mp3,datasets/salami-data-public/annotations/13/textfile1.txt,"[[""intro"", 0.139319727, 11.145578231], [""intro"", 11.145578231, 22.527528344], [""intro"", 22.527528344, 34.127959183], [""bridge"", 34.127959183, 46.039614512], [""chorus"", 46.039614512, 57.935668934], [""verse"", 57.935668934, 69.816099773], [""unknown"", 69.816099773, 81.680612244], [""chorus"", 81.680612244, 93.652108843], [""verse"", 93.652108843, 105.484240362], [""unknown"", 105.484240362, 117.427482993], [""intro"", 117.427482993, 129.331451247], [""intro"", 129.331451247, 141.107369614], [""intro"", 141.107369614, 152.890294784], [""intro"", 152.890294784, 164.787482993], [""chorus"", 164.787482993, 176.931428571], [""intro"", 176.931428571, 195.700340136], [""intro"", 195.700340136, 198.124693877]]",198.124693877,17,Unknown,Unknown
22,datasets/audio/22.mp3,datasets/salami-data-public/annotations/22/textfile1.txt,"[[""intro"", 0.208979591, 1.184217687], [""intro"", 1.184217687, 7.907074829], [""intro"", 7.907074829, 14.538117913], [""verse"", 14.538117913, 21.306802721], [""intro"", 21.306802721, 27.97802721], [""verse"", 27.97802721, 34.689977324], [""intro"", 34.689977324, 41.4261678], [""verse"", 41.4261678, 48.146258503], [""intro"", 48.146258503, 54.844807256], [""verse"", 54.844807256, 61.579024943], [""intro"", 61.579024943, 68.234036281], [""verse"", 68.234036281, 74.922086167], [""intro"", 74.922086167, 81.570929705], [""verse"", 81.570929705, 88.342494331], [""intro"", 88.342494331, 94.874104308], [""verse"", 94.874104308, 101.522108843], [""unknown"", 101.522108843, 108.170340136], [""unknown"", 108.170340136, 114.847528344], [""unknown"", 114.847528344, 121.354172335], [""verse"", 121.354172335, 127.90600907], [""intro"", 127.90600907, 134.490839002], [""verse"", 134.490839002, 141.143741496], [""intro"", 141.143741496, 147.554081632], [""verse"", 147.554081632, 154.23526077], [""chorus"", 154.23526077, 160.826417233], [""verse"", 160.826417233, 167.490680272], [""chorus"", 167.490680272, 173.978820861], [""chorus"", 173.978820861, 180.578004535], [""intro"", 180.578004535, 187.121882086], [""verse"", 187.121882086, 193.745736961], [""unknown"", 193.745736961, 200.321882086], [""unknown"", 200.321882086, 206.833809523], [""unknown"", 206.833809523, 213.362131519], [""verse"", 213.362131519, 219.929977324], [""intro"", 219.929977324, 226.545736961], [""verse"", 226.545736961, 233.098253968], [""intro"", 233.098253968, 239.513786848], [""verse"", 239.513786848, 246.105804988], [""intro"", 246.105804988, 252.665804988], [""verse"", 252.665804988, 259.279365079], [""intro"", 259.279365079, 265.786507936], [""verse"", 265.786507936, 272.400453514], [""intro"", 272.400453514, 279.057414965], [""intro"", 279.057414965, 291.976825396], [""intro"", 291.976825396, 295.725827664]]",295.725827664,45,Unknown,Unknown
37,datasets/audio/37.mp3,datasets/salami-data-public/annotations/37/textfile1.txt,"[[""intro"", 0.394739229, 21.919637188], [""intro"", 21.919637188, 30.696780045], [""chorus"", 30.696780045, 38.661224489], [""bridge"", 38.661224489, 52.825396825], [""verse"", 52.825396825, 62.763537414], [""chorus"", 62.763537414, 78.529886621], [""intro"", 78.529886621, 103.537777777], [""intro"", 103.537777777, 125.666258503], [""intro"", 125.666258503, 135.130702947], [""intro"", 135.130702947, 148.933582766], [""intro"", 148.933582766, 161.866303854], [""intro"", 161.866303854, 171.074739229], [""chorus"", 171.074739229, 190.506281179], [""bridge"", 190.506281179, 199.770544217], [""intro"", 199.770544217, 217.153015873], [""intro"", 217.153015873, 241.378730158], [""intro"", 241.378730158, 251.239909297], [""chorus"", 251.239909297, 261.526349206], [""bridge"", 261.526349206, 274.297324263], [""intro"", 274.297324263, 293.709206349], [""intro"", 293.709206349, 324.986235827], [""intro"", 324.986235827, 336.234376417], [""chorus"", 336.234376417, 343.850362811], [""intro"", 343.850362811, 354.797188208], [""intro"", 354.797188208, 380.331632653], [""intro"", 380.331632653, 383.007823129]]",383.007823129,26,Unknown,Unknown
26,datasets/audio/26.mp3,datasets/salami-data-public/annotations/26/textfile1.txt,"[[""intro"", 0.361224489, 10.710204081], [""intro"", 10.710204081, 20.718752834], [""intro"", 20.718752834, 30.950929705], [""unknown"", 30.950929705, 41.403673469], [""intro"", 41.403673469, 52.151043083], [""intro"", 52.151043083, 63.181111111], [""intro"", 63.181111111, 74.317142857], [""intro"", 74.317142857, 85.535668934], [""intro"", 85.535668934, 97.100136054], [""unknown"", 97.100136054, 108.557619047], [""intro"", 108.557619047, 120.107301587], [""intro"", 120.107301587, 131.747573696], [""intro"", 131.747573696, 143.452494331], [""intro"", 143.452494331, 155.154217687], [""intro"", 155.154217687, 167.353741496], [""unknown"", 167.353741496, 178.984013605], [""verse"", 178.984013605, 190.938662131], [""unknown"", 190.938662131, 202.527913832], [""chorus"", 202.527913832, 214.355918367], [""intro"", 214.355918367, 226.122403628], [""intro"", 226.122403628, 238.136757369], [""unknown"", 238.136757369, 250.023333333], [""intro"", 250.023333333, 262.178684807], [""intro"", 262.178684807, 274.213265306], [""intro"", 274.213265306, 286.193106575], [""intro"", 286.193106575, 301.905827664], [""verse"", 301.905827664, 311.482131519], [""intro"", 311.482131519, 314.548072562]]",314.548072562,28,Unknown,Unknown
14,datasets/audio/14.mp3,datasets/salami-data-public/annotations/14/textfile1.txt,"[[""unknown"", 0.020408163, 3.018594104], [""intro"", 3.018594104, 9.238639455], [""intro"", 9.238639455, 15.505124716], [""verse"", 15.505124716, 21.757097505], [""verse"", 21.757097505, 28.0061678], [""verse"", 28.0061678, 34.258140589], [""verse"", 34.258140589, 40.495600907], [""verse"", 40.495600907, 46.753378684], [""chorus"", 46.753378684, 53.022766439], [""chorus"", 53.022766439, 59.260226757], [""chorus"", 59.260226757, 65.529614512], [""chorus"", 65.529614512, 71.761269841], [""bridge"", 71.761269841, 78.027755102], [""bridge"", 78.027755102, 84.271020408], [""unknown"", 84.271020408, 90.522993197], [""verse"", 90.522993197, 96.801088435], [""unknown"", 96.801088435, 103.026938775], [""unknown"", 103.026938775, 109.273106575], [""unknown"", 109.273106575, 115.545396825], [""verse"", 115.545396825, 121.771247165], [""unknown"", 121.771247165, 128.046439909], [""unknown"", 128.046439909, 140.524263038], [""intro"", 140.524263038, 146.773333333], [""intro"", 146.773333333, 153.063038548], [""intro"", 153.063038548, 159.271473922], [""verse"", 159.271473922, 165.027120181], [""intro"", 165.027120181, 170.893061224], [""unknown"", 170.893061224, 177.15664399], [""chorus"", 177.15664399, 183.414421768], [""intro"", 183.414421768, 189.657687074], [""verse"", 189.657687074, 195.906757369], [""unknown"", 195.906757369, 202.161632653], [""unknown"", 202.161632653, 208.407800453], [""outro"", 208.407800453, 214.680090702], [""chorus"", 214.680090702, 220.908843537], [""unknown"", 220.908843537, 227.175328798], [""unknown"", 227.175328798, 233.412789115], [""verse"", 233.412789115, 239.677074829], [""intro"", 239.677074829, 248.24585034]]",248.24585034,39,Unknown,Unknown
23,datasets/audio/23.mp3,datasets/salami-data-public/annotations/23/textfile1.txt,"[[""intro"", 0.464399092, 7.128526077], [""intro"", 7.128526077, 13.648843537], [""intro"", 13.648843537, 20.13170068], [""verse"", 20.13170068, 26.680997732], [""chorus"", 26.680997732, 33.20877551], [""verse"", 33.20877551, 39.688798185], [""chorus"", 39.688798185, 46.233061224], [""verse"", 46.233061224, 49.644263038], [""intro"", 49.644263038, 56.226757369], [""intro"", 56.226757369, 62.68877551], [""verse"", 62.68877551, 69.268866213], [""chorus"", 69.268866213, 75.816848072], [""verse"", 75.816848072, 82.314739229], [""chorus"", 82.314739229, 88.752811791], [""verse"", 88.752811791, 92.030226757], [""intro"", 92.030226757, 98.561156462], [""chorus"", 98.561156462, 104.992539682], [""verse"", 104.992539682, 111.510045351], [""intro"", 111.510045351, 117.911179138], [""verse"", 117.911179138, 124.408140589], [""chorus"", 124.408140589, 130.985079365], [""verse"", 130.985079365, 137.516530612], [""chorus"", 137.516530612, 144.097959183], [""chorus"", 144.097959183, 147.484807256], [""verse"", 147.484807256, 153.95648526], [""verse"", 153.95648526, 160.426666666], [""intro"", 160.426666666, 166.732448979], [""verse"", 166.732448979, 173.124353741], [""verse"", 173.124353741, 179.513469387], [""intro"", 179.513469387, 193.066349206]]",193.264285714,30,Unknown,Unknown
176,datasets/audio/176.mp3,datasets/salami-data-public/annotations/176/textfile1.txt,"[[""intro"", 0.267029478, 3.658004535], [""chorus"", 3.658004535, 6.636848072], [""chorus"", 6.636848072, 9.50770975], [""chorus"", 9.50770975, 12.439931972], [""verse"", 12.439931972, 15.397845804], [""chorus"", 15.397845804, 18.2530839], [""chorus"", 18.2530839, 21.169682539], [""chorus"", 21.169682539, 24.134172335], [""chorus"", 24.134172335, 27.101587301], [""chorus"", 27.101587301, 30.190657596], [""bridge"", 30.190657596, 33.087346938], [""chorus"", 33.087346938, 36.061383219], [""chorus"", 36.061383219, 39.107188208], [""chorus"", 39.107188208, 42.173786848], [""bridge"", 42.173786848, 45.131337868], [""intro"", 45.131337868, 47.719909297]]",47.725714285,16,Unknown,Unknown
